Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 INFINITI QX60 SENSORY,"$64,620 ", All-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V GDI DOHC, 2 mi. 
2023 Ford Bronco ,"$49,888 ", Four-wheel Drive ,Gasoline ,–,2.3L I4 16V GDI DOHC Turbo, – 
2023 Jeep Grand Cherokee Summit,"$63,302 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 10 mi. 
2023 Mazda CX-50 2.5 S Preferred Plus Package,"$34,252 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC, 10 mi. 
2023 Land Rover Range Rover Autobiography,"$210,790 ", All-wheel Drive ,Gasoline ,Automatic,4.4L V8 32V GDI DOHC Twin Turbo, 10 mi. 
2019 Mazda CX-5 Grand Touring,"$25,494 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC," 53,254 mi. "
2023 Jeep Grand Cherokee L Overland,"$54,532 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 14 mi. 
2023 Lexus LC 500 Base,"$114,660 ", Rear-wheel Drive ,Gasoline ,Automatic,5.0L V8 32V PDI DOHC, 8 mi. 
2023 Jeep Grand Cherokee L Limited,"$47,693 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 7 mi. 
2023 Audi S3 2.0T Premium Plus,"$56,615 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 13 mi. 
2023 Audi RS e-tron GT Base,"$157,790 ", All-wheel Drive ,1-Speed Automatic,Electric, WAUBHBFW4P7902111 ,"

Adaptive Cruise ControlHeated SeatsKeyless StartNavigation System

"
2023 Toyota RAV4 Hybrid Limited,"$43,493 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid, 1 mi. 
2023 Audi e-tron GT Premium Plus,"$99,940 ", All-wheel Drive ,1-Speed Automatic,Electric, WAUFJBFW6P7005121 ,"

Adaptive Cruise ControlHeated SeatsNavigation System

"
2023 Chevrolet Trailblazer LT,"$28,595 ", Front-wheel Drive ,Gasoline ,Automatic,1.2L I3 12V GDI DOHC Turbo, 5 mi. 
2023 Mercedes-Benz GLS 450 4MATIC,"$93,885 ", AWD ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Turbo, 10 mi. 
2023 Buick Encore GX Select,"$29,434 ", All-wheel Drive ,Gasoline ,Automatic,1.3L I3 12V GDI DOHC Turbo, 6 mi. 
2023 Land Rover Range Rover P530 SE,"$139,825 ", All-wheel Drive ,Gasoline ,ZF 8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo, 16 mi. 
2023 Toyota Corolla Hybrid ,"$26,424 ", Front-wheel Drive ,Hybrid ,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid, 5 mi. 
2023 Audi A3 40 Premium,"$46,635 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 3 mi. 
2023 Jeep Wrangler Rubicon,"$57,365 ", Four-wheel Drive ,Gasoline ,Manual,3.6L V6 24V MPFI DOHC, 17 mi. 
2022 Subaru WRX GT,"$43,710 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo, 8 mi. 
2022 RAM 1500 Limited,"$59,500 ", Rear-wheel Drive ,Diesel ,Automatic,3.0L V6 24V DDI DOHC Turbo Diesel, 20 mi. 
2023 GMC Sierra 1500 Pro,"$43,210 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo, 4 mi. 
2023 Nissan Armada Platinum,"$69,899 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 15 mi. 
2023 Jeep Grand Wagoneer Series III,"$108,868 ", Four-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Twin Turbo," 2,903 mi. "
2023 Chevrolet Traverse LS,"$34,899 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC, 6 mi. 
2022 Ford F-250 Lariat,"$99,225 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel, 0 mi. 
2023 GMC Sierra 1500 Denali,"$78,390 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV, 10 mi. 
2023 Lexus ES 300h Base,"$50,370 ", Front-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid, 15 mi. 
2023 Ford Bronco Outer Banks Advanced,"$44,508 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, – 
2022 RAM 3500 Longhorn,"$95,455 ", Four-wheel Drive ,Diesel ,Aisin 6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel, 13 mi. 
2024 BMW X5 sDrive40i,Not Priced, Rear-wheel Drive ,Gasoline ,Automatic,3.0L, 3 mi. 
2023 Ford Transit-250 Base,"$95,900 ", All-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,3.5L V6 24V GDI DOHC Twin Turbo, 354 mi. 
2023 GMC Sierra 1500 Elevation,"$63,657 ", Four-wheel Drive ,Diesel ,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel, 5 mi. 
2024 BMW X5 xDrive40i,"$72,555 ", All-wheel Drive ,Gasoline ,Automatic,3.0L, 7 mi. 
2023 Hyundai Santa Fe HEV Limited,"$44,000 ", All-wheel Drive ,Hybrid ,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid, 4 mi. 
2023 Jeep Grand Cherokee Overland,"$57,951 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 8 mi. 
2022 RAM 1500 Big Horn,"$59,017 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV, – 
2023 Chevrolet Trailblazer RS,"$27,495 ", Front-wheel Drive ,Gasoline ,–,1.3L I3 12V GDI DOHC Turbo, 15 mi. 
2022 Jeep Grand Cherokee Limited,"$47,475 ", Rear-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC," 4,099 mi. "
2023 Hyundai Santa Fe HEV Limited,"$42,867 ", All-wheel Drive ,Hybrid ,6-Speed Automatic with SHIFTRONIC,1.6L I4 16V GDI DOHC Turbo Hybrid, 5 mi. 
2022 Ford F-150 Platinum,"$69,683 ", Four-wheel Drive ,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, 2 mi. 
2023 Dodge Challenger SRT Hellcat,"$84,738 ", Rear-wheel Drive ,Gasoline ,Automatic,6.2L V8 16V MPFI OHV Supercharged, 3 mi. 
2023 Hyundai IONIQ 5 SEL,"$52,820 ", All-wheel Drive ,Automatic,Electric, KM8KNDAF1PU177448 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation SystemPower Liftgate

"
2022 Mercedes-Benz C-Class C 300 4MATIC,"$50,550 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 11 mi. 
2023 Mercedes-Benz AMG GLE 53 Base,"$90,210 ", All-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Turbo, 10 mi. 
2024 Mazda CX-90 3.3 Turbo Preferred Plus,"$47,350 ", All-wheel Drive ,Gasoline ,Automatic,3.3L, 6 mi. 
2023 Acura TLX Type S w/Performance Tire,"$58,145 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Turbo, 3 mi. 
2022 Lincoln Corsair Reserve,"$50,355 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 44 mi. 
2024 BMW X5 M60I,"$97,255 ", All-wheel Drive ,Gasoline ,Automatic,4.4L, 12 mi. 
2023 Mercedes-Benz AMG GLE 53 Base,"$93,345 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo, 7 mi. 
2023 Kia Sorento Hybrid EX,"$42,355 ", All-wheel Drive ,Hybrid ,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid, 5 mi. 
2022 Chevrolet Silverado 1500 RST,"$57,791 ", Four-wheel Drive ,Gasoline ,Automatic,5.3L V8 16V GDI OHV," 2,976 mi. "
2023 Lincoln Navigator Reserve,"$106,215 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,3.5L V6 24V PDI DOHC Twin Turbo, 26 mi. 
2023 Toyota Sienna XLE,Not Priced, AWD ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid, 0 mi. 
2023 Chevrolet Silverado 3500 High Country,"$86,635 ", Four-wheel Drive ,Diesel ,Automatic,6.6L V8 32V DDI OHV Turbo Diesel, 9 mi. 
2023 Jeep Grand Cherokee L Limited,"$48,496 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 1 mi. 
2022 Ford Bronco ,"$59,205 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 76 mi. 
2023 Dodge Durango SRT Hellcat,"$126,230 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,6.2L V8 Supercharged, – 
2023 Toyota Tundra SR5,"$60,318 ", 4WD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
